row_number,ground_truth_path,prompt,feedback_1,feedback_level_1,feedback_2,feedback_level_2,feedback_3,feedback_level_3,feedback_4,feedback_level_4,feedback_5,feedback_level_5,feedback_6,feedback_level_6,feedback_7,feedback_level_7,feedback_8,feedback_level_8,feedback_9,feedback_level_9,feedback_10,feedback_level_10,feedback_11,feedback_level_11,feedback_12,feedback_level_12,feedback_13,feedback_level_13,feedback_14,feedback_level_14,feedback_15,feedback_level_15,feedback_16,feedback_level_16,feedback_17,feedback_level_17,feedback_18,feedback_level_18
62,Data\groud_truth\template\rds_2db_instance.yaml,"We need a CloudFormation template that creates a Amazon Aurora MySQL cluster with two database instances and customized database parameter groups. It must include two publicly accessible `db.t3.large` instances for redundancy, with parameter groups enforcing database-specific settings like `time_zone` and `sql_mode`. ","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: DBCluster
  Error: Use dynamic references over parameters for secrets
- Resource: ClusterEndpoint
  Error: {'Fn::GetAtt': ['DBCluster', 'Endpoint']} is not of type 'string'
- Resource: ReaderEndpoint
  Error: 'ReadEndpoint' is not one of ['DBClusterArn', 'DBClusterResourceId', 'Endpoint', 'Endpoint.Address', 'Endpoint.Port', 'ReadEndpoint.Address', 'MasterUserSecret.SecretArn', 'StorageThroughput'] in ['us-east-1']
- Resource: Instance1Endpoint
  Error: 'Endpoint' is not one of ['AllocatedStorage', 'AllowMajorVersionUpgrade', 'AssociatedRoles', 'AutoMinorVersionUpgrade', 'AutomaticBackupReplicationKmsKeyId', 'AutomaticBackupReplicationRegion', 'AvailabilityZone', 'BackupRetentionPeriod', 'CACertificateIdentifier', 'CertificateDetails.CAIdentifier', 'CertificateDetails.ValidTill', 'CertificateRotationRestart', 'CharacterSetName', 'CopyTagsToSnapshot', 'CustomIAMInstanceProfile', 'DBClusterIdentifier', 'DBClusterSnapshotIdentifier', 'DBInstanceArn', 'DBInstanceClass', 'DBInstanceIdentifier', 'DBName', 'DBParameterGroupName', 'DBSecurityGroups', 'DBSnapshotIdentifier', 'DBSubnetGroupName', 'DBSystemId', 'DbiResourceId', 'DedicatedLogVolume', 'DeleteAutomatedBackups', 'DeletionProtection', 'Domain', 'DomainAuthSecretArn', 'DomainDnsIps', 'DomainFqdn', 'DomainIAMRoleName', 'DomainOu', 'EnableCloudwatchLogsExports', 'EnableIAMDatabaseAuthentication', 'EnablePerformanceInsights', 'Endpoint.Address', 'Endpoint.HostedZoneId', 'Endpoint.Port', 'Engine', 'EngineLifecycleSupport', 'EngineVersion', 'Iops', 'KmsKeyId', 'LicenseModel', 'ManageMasterUserPassword', 'MasterUserPassword', 'MasterUserSecret.KmsKeyId', 'MasterUserSecret.SecretArn', 'MasterUsername', 'MaxAllocatedStorage', 'MonitoringInterval', 'MonitoringRoleArn', 'MultiAZ', 'NcharCharacterSetName', 'NetworkType', 'OptionGroupName', 'PerformanceInsightsKMSKeyId', 'PerformanceInsightsRetentionPeriod', 'Port', 'PreferredBackupWindow', 'PreferredMaintenanceWindow', 'ProcessorFeatures', 'PromotionTier', 'PubliclyAccessible', 'ReplicaMode', 'RestoreTime', 'SourceDBClusterIdentifier', 'SourceDBInstanceAutomatedBackupsArn', 'SourceDBInstanceIdentifier', 'SourceDbiResourceId', 'SourceRegion', 'StorageEncrypted', 'StorageThroughput', 'StorageType', 'Tags', 'TdeCredentialArn', 'TdeCredentialPassword', 'Timezone', 'UseDefaultProcessorFeatures', 'UseLatestRestorableTime', 'VPCSecurityGroups'] in ['us-east-1']
- Resource: Instance2Endpoint
  Error: 'Endpoint' is not one of ['AllocatedStorage', 'AllowMajorVersionUpgrade', 'AssociatedRoles', 'AutoMinorVersionUpgrade', 'AutomaticBackupReplicationKmsKeyId', 'AutomaticBackupReplicationRegion', 'AvailabilityZone', 'BackupRetentionPeriod', 'CACertificateIdentifier', 'CertificateDetails.CAIdentifier', 'CertificateDetails.ValidTill', 'CertificateRotationRestart', 'CharacterSetName', 'CopyTagsToSnapshot', 'CustomIAMInstanceProfile', 'DBClusterIdentifier', 'DBClusterSnapshotIdentifier', 'DBInstanceArn', 'DBInstanceClass', 'DBInstanceIdentifier', 'DBName', 'DBParameterGroupName', 'DBSecurityGroups', 'DBSnapshotIdentifier', 'DBSubnetGroupName', 'DBSystemId', 'DbiResourceId', 'DedicatedLogVolume', 'DeleteAutomatedBackups', 'DeletionProtection', 'Domain', 'DomainAuthSecretArn', 'DomainDnsIps', 'DomainFqdn', 'DomainIAMRoleName', 'DomainOu', 'EnableCloudwatchLogsExports', 'EnableIAMDatabaseAuthentication', 'EnablePerformanceInsights', 'Endpoint.Address', 'Endpoint.HostedZoneId', 'Endpoint.Port', 'Engine', 'EngineLifecycleSupport', 'EngineVersion', 'Iops', 'KmsKeyId', 'LicenseModel', 'ManageMasterUserPassword', 'MasterUserPassword', 'MasterUserSecret.KmsKeyId', 'MasterUserSecret.SecretArn', 'MasterUsername', 'MaxAllocatedStorage', 'MonitoringInterval', 'MonitoringRoleArn', 'MultiAZ', 'NcharCharacterSetName', 'NetworkType', 'OptionGroupName', 'PerformanceInsightsKMSKeyId', 'PerformanceInsightsRetentionPeriod', 'Port', 'PreferredBackupWindow', 'PreferredMaintenanceWindow', 'ProcessorFeatures', 'PromotionTier', 'PubliclyAccessible', 'ReplicaMode', 'RestoreTime', 'SourceDBClusterIdentifier', 'SourceDBInstanceAutomatedBackupsArn', 'SourceDBInstanceIdentifier', 'SourceDbiResourceId', 'SourceRegion', 'StorageEncrypted', 'StorageThroughput', 'StorageType', 'Tags', 'TdeCredentialArn', 'TdeCredentialPassword', 'Timezone', 'UseDefaultProcessorFeatures', 'UseLatestRestorableTime', 'VPCSecurityGroups'] in ['us-east-1']",detailed,"Based on the evaluation, the template contains YAML Syntax Errors.",general,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Data\groud_truth\template\rds_psql_export.yaml,We need a CloudFormation template that creates an Amazon Aurora MySQL cluster with CloudWatch Logs integration. The template should deploy a multi-AZ Aurora cluster with two publicly accessible instances (`db.t3.large`) across two subnets. It must enable error log exports to CloudWatch for monitoring and troubleshooting.,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: DBCluster
  Error: '5.7.mysql_aurora.2.10.2' is not one of ['5.7', '5.7.mysql_aurora.2.11.1', '5.7.mysql_aurora.2.11.2', '5.7.mysql_aurora.2.11.3', '5.7.mysql_aurora.2.11.4', '5.7.mysql_aurora.2.11.4', '5.7.mysql_aurora.2.11.5', '5.7.mysql_aurora.2.11.6', '5.7.mysql_aurora.2.12.0', '5.7.mysql_aurora.2.12.1', '5.7.mysql_aurora.2.12.2', '5.7.mysql_aurora.2.12.3', '5.7.mysql_aurora.2.12.4', '8.0', '8.0.mysql_aurora.3.04.0', '8.0.mysql_aurora.3.04.1', '8.0.mysql_aurora.3.04.2', '8.0.mysql_aurora.3.04.3', '8.0.mysql_aurora.3.05.2', '8.0.mysql_aurora.3.06.0', '8.0.mysql_aurora.3.06.1', '8.0.mysql_aurora.3.07.0', '8.0.mysql_aurora.3.07.1', '8.0.mysql_aurora.3.08.0']
- Resource: DBCluster
  Error: Use dynamic references over parameters for secrets",detailed,"Based on the evaluation, the template contains YAML Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: DBCluster
  Error: Use dynamic references over parameters for secrets",detailed,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,
64,Data\groud_truth\template\arch6-lab3.yaml,"We need a CloudFormation template that creates a web application environment with a public-facing EC2 instance in a VPC. The template should deploy a VPC with public and private subnets, an internet gateway, and route tables to enable public internet access for the web server. It must provision an EC2 instance in the public subnet with Apache HTTP Server, PHP, and a sample inventory application pre-installed via user data scripts. ","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Data\groud_truth\template\lambda_template.yaml,We need a CloudFormation template that creates a AWS Lambda function with a Node.js 20.x runtime that print hello world.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Data\groud_truth\template\create_vpc_example.yaml,"We need a CloudFormation template that creates a VPC with a single public subnet, internet gateway, and associated routing infrastructure, designed to enable internet accessibility for resources while providing foundational networking for demonstrations like CloudWatch EC2 auto-alarms.","Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Data\groud_truth\template\cloudwatch-config-s3-bucket.yaml,We need a CloudFormation template that creates an Amazon S3 bucket that can be made accessible to an entire AWS Organization or Organization Unit. It must also allow flexibility for single-account use (when no Organization ID is given) or enterprise-wide access.,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains YAML Syntax Errors.",general,"Based on the evaluation, the template contains YAML Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: OrgBucketPolicy
  Error: Primary identifiers {'Bucket': {'Ref': 'S3Bucket'}} should have unique values across the resources {'OUBucketPolicy', 'OrgBucketPolicy'}
- Resource: OUBucketPolicy
  Error: Primary identifiers {'Bucket': {'Ref': 'S3Bucket'}} should have unique values across the resources {'OUBucketPolicy', 'OrgBucketPolicy'}",detailed,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: BucketPolicy
  Error: ['Fn::If', 2] is not reachable. When setting condition 'HasOrganizationalUnitId' to False. Where existing status for condition 'HasOrganizationId' is False and condition 'HasAnyOrgAccess' is True",detailed,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: OrgBucketPolicy
  Error: Primary identifiers {'Bucket': {'Ref': 'S3Bucket'}} should have unique values across the resources {'OrgBucketPolicy', 'OUBucketPolicy'}
- Resource: OUBucketPolicy
  Error: Primary identifiers {'Bucket': {'Ref': 'S3Bucket'}} should have unique values across the resources {'OrgBucketPolicy', 'OUBucketPolicy'}",detailed,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,
68,Data\groud_truth\template\ssm-cloudwatch-instance-role.yaml,We need a CloudFormation template that creates an IAM role with AWS managed policy and instance profile for EC2 instances with permissions to integrate with Amazon CloudWatch and AWS Systems Manager (SSM) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Data\groud_truth\template\s3_dynamodb.yaml,"We need a CloudFormation template that creates a VPC, Security Group, S3 Bucket, and DynamoDB Table with deletion protection enabled.","Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Data\groud_truth\template\base-network.yaml,"We need a CloudFormation template that creates a multi-AZ VPC with two public and two private subnets, route tables, and routes to the Internet.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Data\groud_truth\template\resource-dependencies-challenge.yaml,"We need a CloudFormation template that creates an EC2 instance with a security group allowing HTTP access, and an S3 bucket.","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: S3Bucket
  Error: 'AccessControl' is a legacy property. Consider using 'AWS::S3::BucketPolicy' instead",detailed,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Data\groud_truth\template\code-server-stack.yaml,"We need a CloudFormation template that deploys a secure, web-based VS Code development environment on an EC2 instance (Ubuntu 22.04) with code-server (configurable version) bound to port 8080, disabling authentication for simplified access. It restricts inbound traffic to CloudFront's regional IP ranges via a VPC, public subnet, and security group rules, while leveraging CloudFront for global HTTPS access, caching (custom policy with 1-year TTL), and request forwarding. The EC2 instance integrates with SSM for management, uses predefined IAM roles, and outputs critical details like CloudFront URL and instance metadata. Designed for demo use, it prioritizes ease of deployment with trade-offs like open HTTP origin and disabled TLS enforcement, requiring additional hardening for production.","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: CloudFrontDistribution
  Error: 'EC2Instance' dependency already enforced by a 'GetAtt' at 'Resources/CloudFrontDistribution/Properties/DistributionConfig/Origins/0/DomainName'",detailed,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Data\groud_truth\template\easy-ecs-cluster.yaml,We need a CloudFormation template that creates an Amazon ECS cluster configured to leverage both Fargate and Fargate Spot capacity providers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Data\groud_truth\template\task-def-book.yaml,"We need a CloudFormation template that creates an ECS Fargate task definition and associated IAM roles to deploy a containerized application using AWS infrastructure. The template should define a task role with permissions for SSM session management (to enable executing commands into the container) and a task execution role with standard ECR image-pulling and logging capabilities. The task definition must configure a container using a public NGINX image (for simplicity in the demo), expose port 80, and integrate with AWS CloudWatch Logs for centralized logging with a 7-day retention policy. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Data\groud_truth\template\CPUStressInstances.yaml,"We need a CloudFormation template that creates a Windows EC2 instance and associated AWS resources to enable CPU stress testing. The template should provision a Windows Server 2019 instance with SSM agent integration (using IAM roles and instance profiles) to allow remote command execution. It must include a custom SSM document containing a PowerShell script to simulate CPU stress by spawning threads equal to the instance's logical processors for a configurable duration. The stack should parameterize key configurations like AMI selection (via SSM), instance type (t3.nano to t3.large), and subnet usage (with a fallback to default VPC logic). Additionally, an IAM role for FIS must grant permissions to trigger SSM commands, manage logs in CloudWatch, and interact with EC2 instances. ","Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Data\groud_truth\template\setup-users.yaml,"We need a CloudFormation template that creates four IAM roles with tiered permissions to manage access controls. The template should define distinct roles for Security Admins, Admins, Users, and Non-Users, each with granular policies:

Security Admins get full FIS access, role-passing privileges for workshop-specific service roles, and permission to create service-linked roles.

Admins inherit similar permissions but explicitly deny access to FIS resources tagged as ""prod"" environments.

Users are restricted to starting/stopping experiments, viewing FIS resources, and tagging experiments while blocking production access.

Non-Users retain read-only AWS access but are explicitly denied all FIS actions.

All roles should include foundational permissions like AWS ReadOnlyAccess and conditional role-passing to FIS. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Data\groud_truth\template\dynamo-tables.yaml,"We need a CloudFormation template that creates environment-specific DynamoDB tables to store supporter product data, with configurations tailored for production (PROD) and non-production (CODE) environments. The template should:

For PROD:
Deploy a table with provisioned throughput (20 read/5 write capacity units) and auto-scaling for write capacity (min 5, max 500) using a target-tracking policy.
Include encryption (SSE), time-to-live (TTL) for expiryDate, and backup tagging.

For CODE:
Use on-demand billing (PAY_PER_REQUEST) to minimize costs while retaining encryption, TTL, and backup settings.
Dynamically name tables (e.g., SupporterProductData-${Stage}) and conditionally provision resources based on the Stage parameter (PROD/CODE).","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Data\groud_truth\template\ipam.yaml,"We need a CloudFormation template that creates an AWS EC2 IP Address Manager (IPAM) to manage IP address allocation. Note to export critical identifiers like the IPAM ARN, ID, and default public/private scope IDs as stack outputs for cross-stack references (e.g., linking to VPCs or subnet configurations in other templates).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Data\groud_truth\template\iam-policies.yaml,"We need a CloudFormation template that creates three IAM managed policies including:
1. S3 Access Policy: Grants an iOS application read/write access to a specific S3 bucket (ios-apps.sagebridge.org), including object operations (upload, download, delete) and bucket listing/location permissions.
2. DynamoDB Protection Policy: Explicitly denies deletion or schema-modification actions (e.g., DeleteTable, UpdateTable) to prevent accidental data loss in DynamoDB.
3. RDS Protection Policy: Blocks destructive RDS operations (e.g., DeleteDBInstance, DeleteDBCluster) to safeguard databases and backups.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Data\groud_truth\template\bedrock-agent-role.yaml,"We need a CloudFormation template that creates an IAM role that assumable only by the Bedrock service within the same AWS account, scoped to Bedrock agent resources (agent/*) and grant permissions to invoke any Bedrock foundation model and trigger Lambda functions for custom logic integration.","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: AwsAccountId
  Error: {'Ref': 'AWS::AccountId'} is not of type 'string'
- Resource: AwsAccountId
  Error: Default should be allowed by AllowedPattern",detailed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Data\groud_truth\template\patch-resource-group.yaml,"We need a CloudFormation template that creates an AWS Resource Group using tag-based filters to include instances from services like EC2, RDS, SageMaker, SSM, and others.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Data\groud_truth\template\alb-notebook-access-logsbucket.yaml,"We need a CloudFormation template that creates an encrypted S3 bucket (ALBAccessLogsBucket) with private access, enforced bucket ownership, and a 90-day retention policy to automatically delete old logs and a bucket policy allowing AWS ELB accounts and delivery.logs.amazonaws.com to write logs, ensuring compliance with AWS requirements for ALB logging while restricting public access.","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: ELBAccountIds
  Error: Mapping 'ELBAccountIds' is defined but not used
- Resource: ALBAccessLogsBucketPolicy
  Error: 'Fn::Sub' isn't needed because there are no variables
- Resource: ALBAccessLogsBucketPolicy
  Error: {'Fn::Sub': 'arn:aws:iam::${!FindInMap [""ELBAccountIds"", !Ref ""AWS::Region"", ""AccountId""]}:root'} is not valid under any of the given schemas when 'Fn::Sub' is resolved
- Resource: ALBAccessLogsBucketPolicy
  Error: '*' was expected when 'Fn::Sub' is resolved
- Resource: ALBAccessLogsBucketPolicy
  Error: {'Fn::Sub': 'arn:aws:iam::${!FindInMap [""ELBAccountIds"", !Ref ""AWS::Region"", ""AccountId""]}:root'} does not match '^\\d{12}$' when 'Fn::Sub' is resolved
- Resource: ALBAccessLogsBucketPolicy
  Error: {'Fn::Sub': 'arn:aws:iam::${!FindInMap [""ELBAccountIds"", !Ref ""AWS::Region"", ""AccountId""]}:root'} does not match '^arn:(aws|aws-cn|aws-us-gov):iam::\\d{12}:(?:root|user|group|role)' when 'Fn::Sub' is resolved
- Resource: ALBAccessLogsBucketPolicy
  Error: {'Fn::Sub': 'arn:aws:iam::${!FindInMap [""ELBAccountIds"", !Ref ""AWS::Region"", ""AccountId""]}:root'} does not match '^arn:(aws|aws-cn|aws-us-gov):sts::\\d{12}:assumed-role' when 'Fn::Sub' is resolved
- Resource: ALBAccessLogsBucketPolicy
  Error: {'Fn::Sub': 'arn:aws:iam::${!FindInMap [""ELBAccountIds"", !Ref ""AWS::Region"", ""AccountId""]}:root'} does not match '^arn:(aws|aws-cn|aws-us-gov):iam::cloudfront:user/.+$' when 'Fn::Sub' is resolved
- Resource: ALBAccessLogsBucketPolicy
  Error: 'Fn::Sub' isn't needed because there are no variables
- Resource: ALBAccessLogsBucketPolicy
  Error: 'Fn::Sub' isn't needed because there are no variables",detailed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Data\groud_truth\template\tgw.yaml,"We need a CloudFormation template that creates an AWS Transit Gateway (TGW) and a Resource Access Manager (RAM) resource share to centralize and simplify network connectivity across multiple VPCs and AWS accounts. The template should:

Deploy a Transit Gateway with predefined BGP settings (ASN 65000), automatic attachment acceptance, and default route propagation/association for seamless cross-VPC routing.

Share the Transit Gateway to AWS account with if of (644519422710) to enable cross-account network connectivity without manual resource duplication.

Export the Transit Gateway ID and Resource Share ID with stack-specific names for integration with VPC attachments or other networking components.","Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Data\groud_truth\template\macie.yaml,We need a CloudFormation template that creates an AWS Macie session to enable automated sensitive data discovery and security monitoring across AWS accounts.,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Data\groud_truth\template\CloudWatch2S3-bucket.yaml,We need a CloudFormation template that creates a secure and cost-optimized S3 bucket for storing CloudWatch export data with configurable versioning and automated lifecycle management. ,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: LoggingBucket
  Error: A bucket with 'AccessControl' set should also have at least one 'OwnershipControl' configured
- Resource: LoggingBucket
  Error: 'AccessControl' is a legacy property. Consider using 'AWS::S3::BucketPolicy' instead",detailed,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Data\groud_truth\template\guardduty.yaml,We need a CloudFormation template that creates an AWS GuardDuty detector to enable continuous security monitoring for malicious activity in EC2 instances. ,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Data\groud_truth\template\essentials.yaml,"We need a CloudFormation template that creates an S3 bucket for Lambda artifacts and a KMS key for encryption. The template should:

Provision a publicly accessible S3 bucket and enabling easy distribution of Lambda deployment packages or static assets. 

Define a customer-managed KMS key with automatic rotation and granular IAM policies to allow administration/usage by the root account and an imported service role.

Create a KMS key alias for simplified key referencing.","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: LambdaArtifactsBucket
  Error: A bucket with 'AccessControl' set should also have at least one 'OwnershipControl' configured
- Resource: LambdaArtifactsBucket
  Error: 'AccessControl' is a legacy property. Consider using 'AWS::S3::BucketPolicy' instead",detailed,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Data\groud_truth\template\sc-s3-launchrole.yaml,"We need a CloudFormation template that creates an IAM role for AWS Service Catalog to enable secure provisioning and management of S3 and Lambda resources. The template should:

Define a role assumable by Service Catalog, with pre-attached managed policies for full S3 access and basic Lambda execution.

Grant granular permissions for Service Catalog operations (e.g., provisioning products), IAM role/policy management, Lambda function lifecycle actions, CloudFormation stack operations, and SNS integration to support end-to-end resource deployment workflows.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Data\groud_truth\template\security-hub.yaml,We need a CloudFormation template that creates an AWS Security Hub resource that enables default standards and turns on consolidated control findings.,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: SecurityHub
  Error: Additional properties are not allowed ('ControlFindingsGenerator' was unexpected. Did you mean 'ControlFindingGenerator'?)
- Resource: SecurityHubArn
  Error: 'Arn' is not one of ['ARN', 'SubscribedAt'] in ['us-east-1']",detailed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Data\groud_truth\template\ec2-image-builder.yaml,"We need a CloudFormation template that creates AWS resources for EC2 Image Builder to automate the creation, management, and logging of secure AMIs (Amazon Machine Images). The template should:

Define an IAM role and instance profile with permissions for Systems Manager (SSM) and Image Builder operations, enabling EC2 instances to be managed and tagged during image creation.

Provision an S3 bucket with public access controls disabled for storing image build logs, tagged with an owner email (u12345678@anu.edu.au) for accountability.

Attach a managed IAM policy granting read/write access to the logs bucket and basic S3 listing permissions, ensuring Image Builder can store and retrieve log data securely.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Data\groud_truth\template\bucket_for_vpc.yaml,"We need a CloudFormation template that creates a S3 bucket for storing VPC flow logs with automated lifecycle management and strict access controls. The template should:

Provision an S3 bucket with AES256 encryption, optional custom naming, and versioning (enabled/suspended via parameter) to securely store network traffic logs.

Define parameter-driven lifecycle rules to transition logs to cost-effective storage classes (e.g., Glacier) after a specified number of days (default: 30) and delete them after a configurable retention period (default: 365,000 days), balancing compliance and cost optimization.

Attach a bucket policy allowing only the delivery.logs.amazonaws.com service to write logs with bucket-owner-full-control ACLs, ensuring secure log ingestion for VPC flow monitoring.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Data\groud_truth\template\BashScriptAssociation.yaml,"We need a CloudFormation template that creates a self-configuring EC2 instance with automated Nginx installation and centralized logging using AWS Systems Manager (SSM). The template should:

Provision an EC2 instance (Linux 2) with the latest Amazon Linux AMI, an IAM role for SSM access, and permissions to read/write logs to a dedicated S3 bucket.

Automate Nginx installation via an SSM Association that executes a shell script (AWS-RunShellScript) during instance launch, ensuring the web server starts immediately.

Configure SSM logging to store command outputs in an S3 bucket with structured paths (logs/) for auditability.","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Data\groud_truth\template\BashScriptAssociationTags.yaml,"We need a CloudFormation template that creates an auto-configuring EC2 instance with tag-driven Nginx installation and enhanced monitoring using AWS Systems Manager (SSM). The template should:

Provision an EC2 instance (Linux 2) with the latest Amazon Linux AMI, an IAM role for SSM access, and permissions to read/write logs to a dedicated S3 bucket.

Automate Nginx installation via an SSM Association that triggers on the instance tag, executing a shell script to install and start the web server, ensuring consistent configuration across tagged instances.

Configure centralized logging to an S3 bucket and integrate CloudWatch monitoring for performance insights, enabling observability of the instance and application.","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: LogBucket
  Error: 'AccessControl' is a legacy property. Consider using 'AWS::S3::BucketPolicy' instead",detailed,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,
